yourlist:M2022040592C7BAECDB1C5C413EE0E0348724B682493F9F6	Entry	Entry name	Status	Protein names	Gene names	Cross-reference (GeneID)	Organism	Length
KIF5C	O60282	KIF5C_HUMAN	reviewed	Kinesin heavy chain isoform 5C (Kinesin heavy chain neuron-specific 2)	KIF5C KIAA0531 NKHC2	3800;	Homo sapiens (Human)	957
RB1	P06400	RB_HUMAN	reviewed	Retinoblastoma-associated protein (p105-Rb) (p110-RB1) (pRb) (Rb) (pp110)	RB1	5925;	Homo sapiens (Human)	928
TBP	P20226	TBP_HUMAN	reviewed	TATA-box-binding protein (TATA sequence-binding protein) (TATA-binding factor) (TATA-box factor) (Transcription initiation factor TFIID TBP subunit)	TBP GTF2D1 TF2D TFIID	6908;	Homo sapiens (Human)	339
HAT1	O14929	HAT1_HUMAN	reviewed	Histone acetyltransferase type B catalytic subunit (EC 2.3.1.48) (Histone acetyltransferase 1)	HAT1 KAT1	8520;	Homo sapiens (Human)	419
PAK4	O96013	PAK4_HUMAN	reviewed	Serine/threonine-protein kinase PAK 4 (EC 2.7.11.1) (p21-activated kinase 4) (PAK-4)	PAK4 KIAA1142	10298;	Homo sapiens (Human)	591
TIMP2	P16035	TIMP2_HUMAN	reviewed	Metalloproteinase inhibitor 2 (CSC-21K) (Tissue inhibitor of metalloproteinases 2) (TIMP-2)	TIMP2	7077;	Homo sapiens (Human)	220
RRP8	O43159	RRP8_HUMAN	reviewed	Ribosomal RNA-processing protein 8 (EC 2.1.1.-) (Cerebral protein 1) (Nucleomethylin)	RRP8 KIAA0409 NML hucep-1	23378;	Homo sapiens (Human)	456
S100A4	P26447	S10A4_HUMAN	reviewed	Protein S100-A4 (Calvasculin) (Metastasin) (Placental calcium-binding protein) (Protein Mts1) (S100 calcium-binding protein A4)	S100A4 CAPL MTS1	6275;	Homo sapiens (Human)	101
B4GAT1	O43505	B4GA1_HUMAN	reviewed	Beta-1,4-glucuronyltransferase 1 (EC 2.4.1.-) (I-beta-1,3-N-acetylglucosaminyltransferase) (iGnT) (N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase) (Poly-N-acetyllactosamine extension enzyme) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1)	B4GAT1 B3GNT1 B3GNT6	11041;	Homo sapiens (Human)	415
ABCB6	Q9NP58	ABCB6_HUMAN	reviewed	ATP-binding cassette sub-family B member 6 (ABC-type heme transporter ABCB6) (EC 7.6.2.5) (Mitochondrial ABC transporter 3) (Mt-ABC transporter 3) (P-glycoprotein-related protein) (Ubiquitously-expressed mammalian ABC half transporter)	ABCB6 MTABC3 PRP UMAT	10058;	Homo sapiens (Human)	842
PMM2	O15305	PMM2_HUMAN	reviewed	Phosphomannomutase 2 (PMM 2) (EC 5.4.2.8)	PMM2	5373;	Homo sapiens (Human)	246
MTFR1	Q15390	MTFR1_HUMAN	reviewed	Mitochondrial fission regulator 1 (Chondrocyte protein with a poly-proline region)	MTFR1 CHPPR FAM54A2 KIAA0009	9650;	Homo sapiens (Human)	333
RFC5	P40937	RFC5_HUMAN	reviewed	Replication factor C subunit 5 (Activator 1 36 kDa subunit) (A1 36 kDa subunit) (Activator 1 subunit 5) (Replication factor C 36 kDa subunit) (RF-C 36 kDa subunit) (RFC36)	RFC5	5985;	Homo sapiens (Human)	340
CDK1	P06493	CDK1_HUMAN	reviewed	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase)	CDK1 CDC2 CDC28A CDKN1 P34CDC2	983;	Homo sapiens (Human)	297
ST3GAL5	Q9UNP4	SIAT9_HUMAN	reviewed	Lactosylceramide alpha-2,3-sialyltransferase (EC 2.4.99.9) (CMP-NeuAc:lactosylceramide alpha-2,3-sialyltransferase) (GM3 synthase) (Ganglioside GM3 synthase) (ST3Gal V) (ST3GalV) (Sialyltransferase 9)	ST3GAL5 SIAT9 UNQ2510/PRO5998	8869;	Homo sapiens (Human)	418
MAPK9	P45984	MK09_HUMAN	reviewed	Mitogen-activated protein kinase 9 (MAP kinase 9) (MAPK 9) (EC 2.7.11.24) (JNK-55) (Stress-activated protein kinase 1a) (SAPK1a) (Stress-activated protein kinase JNK2) (c-Jun N-terminal kinase 2)	MAPK9 JNK2 PRKM9 SAPK1A	5601;	Homo sapiens (Human)	424
TLE1	Q04724	TLE1_HUMAN	reviewed	Transducin-like enhancer protein 1 (E(Sp1) homolog) (Enhancer of split groucho-like protein 1) (ESG1)	TLE1	7088;	Homo sapiens (Human)	770
PAFAH1B3	Q15102	PA1B3_HUMAN	reviewed	Platelet-activating factor acetylhydrolase IB subunit alpha1 (EC 3.1.1.47) (PAF acetylhydrolase 29 kDa subunit) (PAF-AH 29 kDa subunit) (PAF-AH subunit gamma) (PAFAH subunit gamma)	PAFAH1B3 PAFAHG	5050;	Homo sapiens (Human)	231
IL4R	P24394	IL4RA_HUMAN	reviewed	Interleukin-4 receptor subunit alpha (IL-4 receptor subunit alpha) (IL-4R subunit alpha) (IL-4R-alpha) (IL-4RA) (CD antigen CD124) [Cleaved into: Soluble interleukin-4 receptor subunit alpha (Soluble IL-4 receptor subunit alpha) (Soluble IL-4R-alpha) (sIL4Ralpha/prot) (IL-4-binding protein) (IL4-BP)]	IL4R IL4RA 582J2.1	3566;	Homo sapiens (Human)	825
NPRL2	Q8WTW4	NPRL2_HUMAN	reviewed	GATOR complex protein NPRL2 (Gene 21 protein) (G21 protein) (Nitrogen permease regulator 2-like protein) (NPR2-like protein) (Tumor suppressor candidate 4)	NPRL2 TUSC4	10641;	Homo sapiens (Human)	380
CDH3	P22223	CADH3_HUMAN	reviewed	Cadherin-3 (Placental cadherin) (P-cadherin)	CDH3 CDHP	1001;	Homo sapiens (Human)	829
CDH3	P55291	CAD15_HUMAN	reviewed	Cadherin-15 (Cadherin-14) (Muscle cadherin) (M-cadherin)	CDH15 CDH14 CDH3	1013;	Homo sapiens (Human)	814
DRAP1	Q14919	NC2A_HUMAN	reviewed	Dr1-associated corepressor (Dr1-associated protein 1) (Negative cofactor 2-alpha) (NC2-alpha)	DRAP1	10589;	Homo sapiens (Human)	205
DFFA	O00273	DFFA_HUMAN	reviewed	DNA fragmentation factor subunit alpha (DNA fragmentation factor 45 kDa subunit) (DFF-45) (Inhibitor of CAD) (ICAD)	DFFA DFF1 DFF45 H13	1676;	Homo sapiens (Human)	331
EDEM1	Q92611	EDEM1_HUMAN	reviewed	ER degradation-enhancing alpha-mannosidase-like protein 1	EDEM1 EDEM KIAA0212	9695;	Homo sapiens (Human)	657
HS2ST1	Q7LGA3	HS2ST_HUMAN	reviewed	Heparan sulfate 2-O-sulfotransferase 1 (2-O-sulfotransferase) (2OST) (EC 2.8.2.-)	HS2ST1 HS2ST KIAA0448	9653;	Homo sapiens (Human)	356
KIAA0355	O15063	GRRE1_HUMAN	reviewed	Granule associated Rac and RHOG effector protein 1 (GARRE1)	GARRE1 KIAA0355	9710;	Homo sapiens (Human)	1070
CNOT4	O95628	CNOT4_HUMAN	reviewed	CCR4-NOT transcription complex subunit 4 (EC 2.3.2.27) (CCR4-associated factor 4) (E3 ubiquitin-protein ligase CNOT4) (Potential transcriptional repressor NOT4Hp) (RING-type E3 ubiquitin transferase CNOT4)	CNOT4 NOT4	4850;	Homo sapiens (Human)	575
DMTF1	Q9Y222	DMTF1_HUMAN	reviewed	Cyclin-D-binding Myb-like transcription factor 1 (hDMTF1) (Cyclin-D-interacting Myb-like protein 1) (hDMP1)	DMTF1 DMP1	9988;	Homo sapiens (Human)	760
DCK	P27707	DCK_HUMAN	reviewed	Deoxycytidine kinase (dCK) (EC 2.7.1.74) (Deoxyadenosine kinase) (EC 2.7.1.76) (Deoxyguanosine kinase) (EC 2.7.1.113)	DCK	1633;	Homo sapiens (Human)	260
DYNLT3	P51808	DYLT3_HUMAN	reviewed	Dynein light chain Tctex-type 3 (Protein 91/23) (T-complex-associated testis-expressed 1-like)	DYNLT3 TCTE1L TCTE1XL	6990;	Homo sapiens (Human)	116
BAMBI	Q13145	BAMBI_HUMAN	reviewed	BMP and activin membrane-bound inhibitor homolog (Non-metastatic gene A protein) (Putative transmembrane protein NMA)	BAMBI NMA	25805;	Homo sapiens (Human)	260
SLC35A1	P78382	S35A1_HUMAN	reviewed	CMP-sialic acid transporter (CMP-SA-Tr) (CMP-Sia-Tr) (Solute carrier family 35 member A1)	SLC35A1	10559;	Homo sapiens (Human)	337
NCK2	O43639	NCK2_HUMAN	reviewed	Cytoplasmic protein NCK2 (Growth factor receptor-bound protein 4) (NCK adaptor protein 2) (Nck-2) (SH2/SH3 adaptor protein NCK-beta)	NCK2 GRB4	8440;	Homo sapiens (Human)	380
ITGB1BP1	O14713	ITBP1_HUMAN	reviewed	Integrin beta-1-binding protein 1 (Integrin cytoplasmic domain-associated protein 1) (ICAP-1)	ITGB1BP1 ICAP1	9270;	Homo sapiens (Human)	200
PPP2R5E	Q16537	2A5E_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform (PP2A B subunit isoform B'-epsilon) (PP2A B subunit isoform B56-epsilon) (PP2A B subunit isoform PR61-epsilon) (PP2A B subunit isoform R5-epsilon)	PPP2R5E	5529;	Homo sapiens (Human)	467
CEBPZ	Q03701	CEBPZ_HUMAN	reviewed	CCAAT/enhancer-binding protein zeta (CCAAT-box-binding transcription factor) (CBF) (CCAAT-binding factor)	CEBPZ CBF2	10153;	Homo sapiens (Human)	1054
TIMM17B	O60830	TI17B_HUMAN	reviewed	Mitochondrial import inner membrane translocase subunit Tim17-B	TIMM17B TIM17B JM3	10245;	Homo sapiens (Human)	172
UGDH	O60701	UGDH_HUMAN	reviewed	UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22)	UGDH	7358;	Homo sapiens (Human)	494
MTF2	Q9Y483	MTF2_HUMAN	reviewed	Metal-response element-binding transcription factor 2 (Metal regulatory transcription factor 2) (Metal-response element DNA-binding protein M96) (Polycomb-like protein 2) (hPCl2)	MTF2 PCL2	22823;	Homo sapiens (Human)	593
EZH2	Q15910	EZH2_HUMAN	reviewed	Histone-lysine N-methyltransferase EZH2 (EC 2.1.1.356) (ENX-1) (Enhancer of zeste homolog 2) (Lysine N-methyltransferase 6)	EZH2 KMT6	2146;	Homo sapiens (Human)	746
MYCBP	Q99417	MYCBP_HUMAN	reviewed	c-Myc-binding protein (Associate of Myc 1) (AMY-1)	MYCBP AMY1	26292;	Homo sapiens (Human)	103
DUSP14	O95147	DUS14_HUMAN	reviewed	Dual specificity protein phosphatase 14 (EC 3.1.3.16) (EC 3.1.3.48) (MKP-1-like protein tyrosine phosphatase) (MKP-L) (Mitogen-activated protein kinase phosphatase 6) (MAP kinase phosphatase 6) (MKP-6)	DUSP14 MKP6	11072;	Homo sapiens (Human)	198
SOCS2	O14508	SOCS2_HUMAN	reviewed	Suppressor of cytokine signaling 2 (SOCS-2) (Cytokine-inducible SH2 protein 2) (CIS-2) (STAT-induced STAT inhibitor 2) (SSI-2)	SOCS2 CIS2 SSI2 STATI2	8835;	Homo sapiens (Human)	198
RPS6KA1	Q15418	KS6A1_HUMAN	reviewed	Ribosomal protein S6 kinase alpha-1 (S6K-alpha-1) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 1) (p90-RSK 1) (p90RSK1) (p90S6K) (MAP kinase-activated protein kinase 1a) (MAPK-activated protein kinase 1a) (MAPKAP kinase 1a) (MAPKAPK-1a) (Ribosomal S6 kinase 1) (RSK-1)	RPS6KA1 MAPKAPK1A RSK1	6195;	Homo sapiens (Human)	735
APOE	P02649	APOE_HUMAN	reviewed	Apolipoprotein E (Apo-E)	APOE	348;	Homo sapiens (Human)	317
HES1	A0A0B4J2D5	GAL3B_HUMAN	reviewed	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial (Keio novel protein-I) (KNP-I) (Protein GT335) (Protein HES1)	GATD3B HES1 KNPI	8209;	Homo sapiens (Human)	268
HES1	Q14469	HES1_HUMAN	reviewed	Transcription factor HES-1 (Class B basic helix-loop-helix protein 39) (bHLHb39) (Hairy and enhancer of split 1) (Hairy homolog) (Hairy-like protein) (hHL)	HES1 BHLHB39 HL HRY	3280;	Homo sapiens (Human)	280
PSMG1	O95456	PSMG1_HUMAN	reviewed	Proteasome assembly chaperone 1 (PAC-1) (Chromosome 21 leucine-rich protein) (C21-LRP) (Down syndrome critical region protein 2)	PSMG1 C21LRP DSCR2 PAC1	8624;	Homo sapiens (Human)	288
SATB1	Q01826	SATB1_HUMAN	reviewed	DNA-binding protein SATB1 (Special AT-rich sequence-binding protein 1)	SATB1	6304;	Homo sapiens (Human)	763
DDB2	Q92466	DDB2_HUMAN	reviewed	DNA damage-binding protein 2 (DDB p48 subunit) (DDBb) (Damage-specific DNA-binding protein 2) (UV-damaged DNA-binding protein 2) (UV-DDB 2)	DDB2	1643;	Homo sapiens (Human)	427
CCNA2	P20248	CCNA2_HUMAN	reviewed	Cyclin-A2 (Cyclin-A) (Cyclin A)	CCNA2 CCN1 CCNA	890;	Homo sapiens (Human)	432
EML3	Q32P44	EMAL3_HUMAN	reviewed	Echinoderm microtubule-associated protein-like 3 (EMAP-3)	EML3	256364;	Homo sapiens (Human)	896
PRAF2	O60831	PRAF2_HUMAN	reviewed	PRA1 family protein 2	PRAF2 JM4	11230;	Homo sapiens (Human)	178
SPR	P35270	SPRE_HUMAN	reviewed	Sepiapterin reductase (SPR) (EC 1.1.1.153)	SPR	6697;	Homo sapiens (Human)	261
EPN2	O95208	EPN2_HUMAN	reviewed	Epsin-2 (EPS-15-interacting protein 2)	EPN2 KIAA1065	22905;	Homo sapiens (Human)	641
MRPL19	P49406	RM19_HUMAN	reviewed	39S ribosomal protein L19, mitochondrial (L19mt) (MRP-L19) (39S ribosomal protein L15, mitochondrial) (L15mt) (MRP-L15) (Mitochondrial large ribosomal subunit protein bL19m)	MRPL19 KIAA0104 MRPL15	9801;	Homo sapiens (Human)	292
CEP57	Q86XR8	CEP57_HUMAN	reviewed	Centrosomal protein of 57 kDa (Cep57) (FGF2-interacting protein) (Testis-specific protein 57) (Translokin)	CEP57 KIAA0092 TSP57	9702;	Homo sapiens (Human)	500
TRAPPC3	O43617	TPPC3_HUMAN	reviewed	Trafficking protein particle complex subunit 3 (BET3 homolog)	TRAPPC3 BET3 CDABP0066	27095;	Homo sapiens (Human)	180
ZNF318	Q5VUA4	ZN318_HUMAN	reviewed	Zinc finger protein 318 (Endocrine regulatory protein)	ZNF318 HRIHFB2436	24149;	Homo sapiens (Human)	2279
STX4	Q12846	STX4_HUMAN	reviewed	Syntaxin-4 (Renal carcinoma antigen NY-REN-31)	STX4 STX4A	6810;	Homo sapiens (Human)	297
IPO13	O94829	IPO13_HUMAN	reviewed	Importin-13 (Imp13) (Karyopherin-13) (Kap13) (Ran-binding protein 13) (RanBP13)	IPO13 KIAA0724 RANBP13	9670;	Homo sapiens (Human)	963
PCBD1	P61457	PHS_HUMAN	reviewed	Pterin-4-alpha-carbinolamine dehydratase (PHS) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase) (Dimerization cofactor of hepatocyte nuclear factor 1-alpha) (DCoH) (Dimerization cofactor of HNF1) (Phenylalanine hydroxylase-stimulating protein) (Pterin carbinolamine dehydratase) (PCD)	PCBD1 DCOH PCBD	5092;	Homo sapiens (Human)	104
MNAT1	P51948	MAT1_HUMAN	reviewed	CDK-activating kinase assembly factor MAT1 (CDK7/cyclin-H assembly factor) (Cyclin-G1-interacting protein) (Menage a trois) (RING finger protein 66) (RING finger protein MAT1) (p35) (p36)	MNAT1 CAP35 MAT1 RNF66	4331;	Homo sapiens (Human)	309
AGL	P35573	GDE_HUMAN	reviewed	Glycogen debranching enzyme (Glycogen debrancher) [Includes: 4-alpha-glucanotransferase (EC 2.4.1.25) (Oligo-1,4-1,4-glucantransferase); Amylo-alpha-1,6-glucosidase (Amylo-1,6-glucosidase) (EC 3.2.1.33) (Dextrin 6-alpha-D-glucosidase)]	AGL GDE	178;	Homo sapiens (Human)	1532
LOXL1	Q08397	LOXL1_HUMAN	reviewed	Lysyl oxidase homolog 1 (EC 1.4.3.-) (Lysyl oxidase-like protein 1) (LOL)	LOXL1 LOXL	4016;	Homo sapiens (Human)	574
NFIL3	Q16649	NFIL3_HUMAN	reviewed	Nuclear factor interleukin-3-regulated protein (E4 promoter-binding protein 4) (Interleukin-3 promoter transcriptional activator) (Interleukin-3-binding protein 1) (Transcriptional activator NF-IL3A)	NFIL3 E4BP4 IL3BP1	4783;	Homo sapiens (Human)	462
CSNK2A2	P19784	CSK22_HUMAN	reviewed	Casein kinase II subunit alpha' (CK II alpha') (EC 2.7.11.1)	CSNK2A2 CK2A2	1459;	Homo sapiens (Human)	350
RAB4A	P20338	RAB4A_HUMAN	reviewed	Ras-related protein Rab-4A (EC 3.6.5.2)	RAB4A RAB4	5867;	Homo sapiens (Human)	218
POLB	P06746	DPOLB_HUMAN	reviewed	DNA polymerase beta (EC 2.7.7.7) (EC 4.2.99.-)	POLB	5423;	Homo sapiens (Human)	335
IGF1R	P08069	IGF1R_HUMAN	reviewed	Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]	IGF1R	3480;	Homo sapiens (Human)	1367
FGFR2	P21802	FGFR2_HUMAN	reviewed	Fibroblast growth factor receptor 2 (FGFR-2) (EC 2.7.10.1) (K-sam) (KGFR) (Keratinocyte growth factor receptor) (CD antigen CD332)	FGFR2 BEK KGFR KSAM	2263;	Homo sapiens (Human)	821
MBNL2	Q5VZF2	MBNL2_HUMAN	reviewed	Muscleblind-like protein 2 (Muscleblind-like protein 1) (Muscleblind-like protein-like) (Muscleblind-like protein-like 39)	MBNL2 MBLL MBLL39 MLP1	10150;	Homo sapiens (Human)	373
TATDN2	Q93075	TATD2_HUMAN	reviewed	Putative deoxyribonuclease TATDN2 (EC 3.1.21.-)	TATDN2 KIAA0218	9797;	Homo sapiens (Human)	761
TRIM13	O60858	TRI13_HUMAN	reviewed	E3 ubiquitin-protein ligase TRIM13 (EC 2.3.2.27) (B-cell chronic lymphocytic leukemia tumor suppressor Leu5) (Leukemia-associated protein 5) (Putative tumor suppressor RFP2) (RING finger protein 77) (RING-type E3 ubiquitin transferase TRIM13) (Ret finger protein 2) (Tripartite motif-containing protein 13)	TRIM13 LEU5 RFP2 RNF77	10206;	Homo sapiens (Human)	407
HMOX1	P09601	HMOX1_HUMAN	reviewed	Heme oxygenase 1 (HO-1) (EC 1.14.14.18)	HMOX1 HO HO1	3162;	Homo sapiens (Human)	288
NUCB2	P80303	NUCB2_HUMAN	reviewed	Nucleobindin-2 (DNA-binding protein NEFA) (Epididymis secretory protein Li 109) (Gastric cancer antigen Zg4) (Prepronesfatin) [Cleaved into: Nesfatin-1]	NUCB2 NEFA	4925;	Homo sapiens (Human)	420
BCL2	P10415	BCL2_HUMAN	reviewed	Apoptosis regulator Bcl-2	BCL2	596;	Homo sapiens (Human)	239
RFC2	P35250	RFC2_HUMAN	reviewed	Replication factor C subunit 2 (Activator 1 40 kDa subunit) (A1 40 kDa subunit) (Activator 1 subunit 2) (Replication factor C 40 kDa subunit) (RF-C 40 kDa subunit) (RFC40)	RFC2	5982;	Homo sapiens (Human)	354
FZD7	O75084	FZD7_HUMAN	reviewed	Frizzled-7 (Fz-7) (hFz7) (FzE3)	FZD7	8324;	Homo sapiens (Human)	574
PHKG2	P15735	PHKG2_HUMAN	reviewed	Phosphorylase b kinase gamma catalytic chain, liver/testis isoform (PHK-gamma-LT) (PHK-gamma-T) (EC 2.7.11.19) (PSK-C3) (Phosphorylase kinase subunit gamma-2)	PHKG2	5261;	Homo sapiens (Human)	406
GADD45A	P24522	GA45A_HUMAN	reviewed	Growth arrest and DNA damage-inducible protein GADD45 alpha (DNA damage-inducible transcript 1 protein) (DDIT-1)	GADD45A DDIT1 GADD45	1647;	Homo sapiens (Human)	165
LAMA3	Q16787	LAMA3_HUMAN	reviewed	Laminin subunit alpha-3 (Epiligrin 170 kDa subunit) (E170) (Epiligrin subunit alpha) (Kalinin subunit alpha) (Laminin-5 subunit alpha) (Laminin-6 subunit alpha) (Laminin-7 subunit alpha) (Nicein subunit alpha)	LAMA3 LAMNA	3909;	Homo sapiens (Human)	3333
SKIV2L	Q15477	SKIV2_HUMAN	reviewed	Helicase SKI2W (Ski2) (EC 3.6.4.-) (Helicase-like protein) (HLP)	SKIV2L DDX13 SKI2W SKIV2 W	6499;	Homo sapiens (Human)	1246
BUB1B	O60566	BUB1B_HUMAN	reviewed	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta (EC 2.7.11.1) (MAD3/BUB1-related protein kinase) (hBUBR1) (Mitotic checkpoint kinase MAD3L) (Protein SSK1)	BUB1B BUBR1 MAD3L SSK1	701;	Homo sapiens (Human)	1050
SLC25A13	Q9UJS0	CMC2_HUMAN	reviewed	Calcium-binding mitochondrial carrier protein Aralar2 (Citrin) (Mitochondrial aspartate glutamate carrier 2) (Solute carrier family 25 member 13)	SLC25A13 ARALAR2	10165;	Homo sapiens (Human)	675
SSBP2	P81877	SSBP2_HUMAN	reviewed	Single-stranded DNA-binding protein 2 (Sequence-specific single-stranded-DNA-binding protein 2)	SSBP2 SSDP2	23635;	Homo sapiens (Human)	361
AKAP8	O43823	AKAP8_HUMAN	reviewed	A-kinase anchor protein 8 (AKAP-8) (A-kinase anchor protein 95 kDa) (AKAP 95)	AKAP8 AKAP95	10270;	Homo sapiens (Human)	692
PDIA5	Q14554	PDIA5_HUMAN	reviewed	Protein disulfide-isomerase A5 (EC 5.3.4.1) (Protein disulfide isomerase-related protein)	PDIA5 PDIR	10954;	Homo sapiens (Human)	519
RAB11FIP2	Q7L804	RFIP2_HUMAN	reviewed	Rab11 family-interacting protein 2 (Rab11-FIP2) (NRip11)	RAB11FIP2 KIAA0941	22841;	Homo sapiens (Human)	512
RAB21	Q9UL25	RAB21_HUMAN	reviewed	Ras-related protein Rab-21	RAB21 KIAA0118	23011;	Homo sapiens (Human)	225
LYRM1	O43325	LYRM1_HUMAN	reviewed	LYR motif-containing protein 1	LYRM1	57149;	Homo sapiens (Human)	122
RAP1GAP	P47736	RPGP1_HUMAN	reviewed	Rap1 GTPase-activating protein 1 (Rap1GAP) (Rap1GAP1)	RAP1GAP KIAA0474 RAP1GA1	5909;	Homo sapiens (Human)	663
TCEA2	Q15560	TCEA2_HUMAN	reviewed	Transcription elongation factor A protein 2 (Testis-specific S-II) (Transcription elongation factor S-II protein 2) (Transcription elongation factor TFIIS.l)	TCEA2	6919;	Homo sapiens (Human)	299
NFKBIE	O00221	IKBE_HUMAN	reviewed	NF-kappa-B inhibitor epsilon (NF-kappa-BIE) (I-kappa-B-epsilon) (IkB-E) (IkB-epsilon) (IkappaBepsilon)	NFKBIE IKBE	4794;	Homo sapiens (Human)	500
MRPL12	P52815	RM12_HUMAN	reviewed	39S ribosomal protein L12, mitochondrial (L12mt) (MRP-L12) (5c5-2) (Mitochondrial large ribosomal subunit protein bL12m)	MRPL12 MRPL7 RPML12	6182;	Homo sapiens (Human)	198
ATF6	P18850	ATF6A_HUMAN	reviewed	Cyclic AMP-dependent transcription factor ATF-6 alpha (cAMP-dependent transcription factor ATF-6 alpha) (Activating transcription factor 6 alpha) (ATF6-alpha) [Cleaved into: Processed cyclic AMP-dependent transcription factor ATF-6 alpha]	ATF6	22926;	Homo sapiens (Human)	670
CEBPD	P49716	CEBPD_HUMAN	reviewed	CCAAT/enhancer-binding protein delta (C/EBP delta) (Nuclear factor NF-IL6-beta) (NF-IL6-beta)	CEBPD	1052;	Homo sapiens (Human)	269
GNB5	O14775	GNB5_HUMAN	reviewed	Guanine nucleotide-binding protein subunit beta-5 (Gbeta5) (Transducin beta chain 5)	GNB5	10681;	Homo sapiens (Human)	395
DUSP4	Q13115	DUS4_HUMAN	reviewed	Dual specificity protein phosphatase 4 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase hVH2) (Mitogen-activated protein kinase phosphatase 2) (MAP kinase phosphatase 2) (MKP-2)	DUSP4 MKP2 VH2	1846;	Homo sapiens (Human)	394
CEBPA	P49715	CEBPA_HUMAN	reviewed	CCAAT/enhancer-binding protein alpha (C/EBP alpha)	CEBPA CEBP	1050;	Homo sapiens (Human)	358
WASF3	Q9UPY6	WASF3_HUMAN	reviewed	Wiskott-Aldrich syndrome protein family member 3 (WASP family protein member 3) (Protein WAVE-3) (Verprolin homology domain-containing protein 3)	WASF3 KIAA0900 SCAR3 WAVE3	10810;	Homo sapiens (Human)	502
PRKX	P51817	PRKX_HUMAN	reviewed	cAMP-dependent protein kinase catalytic subunit PRKX (PrKX) (Protein kinase X) (Protein kinase X-linked) (Serine/threonine-protein kinase PRKX) (EC 2.7.11.1) (Protein kinase PKX1)	PRKX PKX1	5613;	Homo sapiens (Human)	358
SLC5A6	Q9Y289	SC5A6_HUMAN	reviewed	Sodium-dependent multivitamin transporter (Na(+)-dependent multivitamin transporter) (Solute carrier family 5 member 6)	SLC5A6 SMVT	8884;	Homo sapiens (Human)	635
MAP3K4	Q9Y6R4	M3K4_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 4 (EC 2.7.11.25) (MAP three kinase 1) (MAPK/ERK kinase kinase 4) (MEK kinase 4) (MEKK 4)	MAP3K4 KIAA0213 MAPKKK4 MEKK4 MTK1	4216;	Homo sapiens (Human)	1608
AURKA	O14965	AURKA_HUMAN	reviewed	Aurora kinase A (EC 2.7.11.1) (Aurora 2) (Aurora/IPL1-related kinase 1) (ARK-1) (Aurora-related kinase 1) (hARK1) (Breast tumor-amplified kinase) (Serine/threonine-protein kinase 15) (Serine/threonine-protein kinase 6) (Serine/threonine-protein kinase aurora-A)	AURKA AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6	6790;	Homo sapiens (Human)	403
CCNH	P51946	CCNH_HUMAN	reviewed	Cyclin-H (MO15-associated protein) (p34) (p37)	CCNH	902;	Homo sapiens (Human)	323
TESK1	Q15569	TESK1_HUMAN	reviewed	Dual specificity testis-specific protein kinase 1 (EC 2.7.12.1) (Testicular protein kinase 1)	TESK1	7016;	Homo sapiens (Human)	626
CDC45	O75419	CDC45_HUMAN	reviewed	Cell division control protein 45 homolog (PORC-PI-1)	CDC45 CDC45L CDC45L2 UNQ374/PRO710	8318;	Homo sapiens (Human)	566
FOXO3	O43524	FOXO3_HUMAN	reviewed	Forkhead box protein O3 (AF6q21 protein) (Forkhead in rhabdomyosarcoma-like 1)	FOXO3 FKHRL1 FOXO3A	2309;	Homo sapiens (Human)	673
ENOSF1	Q7L5Y1	ENOF1_HUMAN	reviewed	Mitochondrial enolase superfamily member 1 (EC 4.2.1.68) (Antisense RNA to thymidylate synthase) (rTS) (L-fuconate dehydratase)	ENOSF1 RTS TYMSAS	55556;	Homo sapiens (Human)	443
IFNAR1	P17181	INAR1_HUMAN	reviewed	Interferon alpha/beta receptor 1 (IFN-R-1) (IFN-alpha/beta receptor 1) (Cytokine receptor class-II member 1) (Cytokine receptor family 2 member 1) (CRF2-1) (Type I interferon receptor 1)	IFNAR1 IFNAR	3454;	Homo sapiens (Human)	557
